#     name      zhel      zcmb f    st   +/-   Mmax   +/-    t0  EBVmw eEBVmw  covMs       Anon   Source
SN2005ke   0.0048767 0.0044833 g 0.419 0.004 14.437 0.008 -10.0 0.0200 0.0020  5.283e-06   Anon   CSP
SN2005ke   0.0048767 0.0044833 i 0.419 0.004 14.290 0.012 -11.0 0.0200 0.0020  4.296e-06   Anon   CSP
SN2005ke   0.0048767 0.0044833 H 0.419 0.004 14.005 0.012  -8.6 0.0200 0.0020  1.165e-05   Anon   CSP
SN2005ke   0.0048767 0.0044833 J 0.419 0.004 13.992 0.012  -8.0 0.0200 0.0020  7.414e-08   Anon   CSP
SN2005ke   0.0048767 0.0044833 r 0.419 0.004 14.016 0.009 -13.0 0.0200 0.0020  6.234e-06   Anon   CSP
SN2005ke   0.0048767 0.0044833 u 0.419 0.004 15.965 0.013  -8.1 0.0200 0.0020  2.025e-06   Anon   CSP
SN2005ke   0.0048767 0.0044833 V 0.419 0.004 14.141 0.008 -11.1 0.0200 0.0020  5.293e-06   Anon   CSP
SN2005ke   0.0048767 0.0044833 Y 0.419 0.004 14.049 0.012 -10.2 0.0200 0.0020  1.210e-05   Anon   CSP
SN2005ki   0.0191933 0.0203700 B 0.825 0.003 15.572 0.005  -9.8 0.0267 0.0027  3.603e-06   Anon   CSP
SN2005ki   0.0191933 0.0203700 g 0.825 0.003 15.529 0.004 -10.0 0.0267 0.0027  3.091e-06   Anon   CSP
SN2005ki   0.0191933 0.0203700 i 0.825 0.003 16.217 0.006  -7.0 0.0267 0.0027  9.170e-07   Anon   CSP
SN2005ki   0.0191933 0.0203700 H 0.825 0.003 16.275 0.021  -3.9 0.0267 0.0027  4.442e-06   Anon   CSP
SN2005ki   0.0191933 0.0203700 J 0.825 0.003 16.115 0.015  -5.2 0.0267 0.0027  2.748e-06   Anon   CSP
SN2005ki   0.0191933 0.0203700 r 0.825 0.003 15.683 0.004 -11.0 0.0267 0.0027  9.043e-07   Anon   CSP
SN2005ki   0.0191933 0.0203700 u 0.825 0.003 15.873 0.010  -8.2 0.0267 0.0027  7.433e-07   Anon   CSP
SN2005ki   0.0191933 0.0203700 V 0.825 0.003 15.596 0.004 -11.1 0.0267 0.0027  1.759e-06   Anon   CSP
SN2005ki   0.0191933 0.0203700 Y 0.825 0.003 16.151 0.011  -4.9 0.0267 0.0027 -3.258e-06   Anon   CSP
SN2005ku   0.0454067 0.0441833 B 0.950 0.040 17.534 0.063   0.2 0.0461 0.0046  2.842e-05   Anon   CSP
SN2005ku   0.0454067 0.0441833 g 0.950 0.040 17.526 0.040  -0.0 0.0461 0.0046 -4.080e-05   Anon   CSP
SN2005ku   0.0454067 0.0441833 i 0.950 0.040 18.078 0.082   3.3 0.0461 0.0046  2.897e-08   Anon   CSP
SN2005ku   0.0454067 0.0441833 r 0.950 0.040 17.474 0.038  -1.3 0.0461 0.0046 -1.271e-06   Anon   CSP
SN2005ku   0.0454067 0.0441833 u 0.950 0.040 18.317 0.111   1.5 0.0461 0.0046 -2.576e-04   Anon   CSP
SN2005ku   0.0454067 0.0441833 V 0.950 0.040 17.432 0.049  -1.1 0.0461 0.0046 -3.728e-05   Anon   CSP
SN2005ku   0.0454067 0.0441833 Y 0.950 0.040 17.905 0.196   5.8 0.0461 0.0046  5.973e-04   Anon   CSP
SN2005lu   0.0319867 0.0312933 B 1.130 0.034 17.292 0.058   8.7 0.0218 0.0022  3.751e-06   Anon   CSP
SN2005lu   0.0319867 0.0312933 g 1.130 0.034 17.112 0.035   8.7 0.0218 0.0022 -5.934e-05   Anon   CSP
