      SN    st  e_st   zhelio     zcmb    Bmax e_Bmax    Vmax e_Vmax    umax e_umax    gmax e_gmax    rmax e_rmax    imax e_imax    Ymax e_Ymax    Jmax e_Jmax    Hmax e_Hmax EBVhost e_EBVhost    Rv  e_Rv  C(Rv)(EBVhost) ssource   cephV    cephH
SN2008bi 0.485 0.028 0.013437 0.014388  16.931  0.111  16.421  0.072  18.131  0.182  16.573  0.079  16.431  0.057  16.493  0.087  16.337  0.070  15.437  0.135  16.250  0.075 0.29700   0.04800 2.256 0.591        -0.01927     CSP       0        0
SN2008bq 1.155 0.009 0.033977 0.034443  16.725  0.005  16.670  0.005  17.312  0.012  16.645  0.005  16.706  0.006  17.318  0.009  17.234  0.064  17.070  0.103  17.376  0.129 0.12700   0.02200 2.548 0.909        -0.01097     CSP       0        0
SN2008bt 0.470 0.009 0.015353 0.016580  16.753  0.010  16.254  0.008  17.820  0.031  16.469  0.008  16.164  0.009  16.430  0.015  16.383  0.051  16.070  0.149  16.409  0.240 0.25100   0.02500 1.106 0.430        -0.00366     CSP       0        0
SN2008bz 0.927 0.023 0.060237 0.061326  17.945  0.050  17.985  0.038  18.369  0.084  17.918  0.028  18.136  0.028  18.733  0.064 999.999  9.999 999.999  9.999 999.999  9.999 0.01900   0.01700 1.653 1.382        -0.00154     CSP       0        0
SN2008cc 0.789 0.017 0.010387 0.010122  14.174  0.053  14.090  0.038  14.761  0.079  14.109  0.011  14.150  0.027  14.671  0.056  14.486  0.021  14.216  0.047  14.481  0.026 0.11400   0.02200 2.218 0.634        -0.00827     CSP       0        0
SN2008cd 1.012 0.080 0.007407 0.008462  18.836  0.113  17.152  0.068 999.999  9.999  17.896  0.064  16.334  0.052  16.011  0.097 999.999  9.999 999.999  9.999 999.999  9.999 1.91100   0.07400 2.136 0.355        -0.01597     CSP       0        0
SN2008cf 1.121 0.036 0.045968 0.046827  17.071  0.051  17.054  0.039  17.269  0.083  17.005  0.030  17.236  0.030  17.939  0.068  18.204  0.075  17.983  0.190  18.088  0.074 0.01400   0.01400 1.549 1.297        -0.00356     CSP       0        0
SN2008ff 1.132 0.010 0.019193 0.018673  15.364  0.014  15.235  0.009  15.738  0.032  15.275  0.011  15.358  0.010  16.011  0.020  16.092  0.019  16.099  0.039  16.275  0.020 0.12000   0.02000 0.999 0.496        -0.00484     CSP       0        0
SN2008fl 0.856 0.019 0.019900 0.019417  15.640  0.052  15.580  0.038  16.105  0.082  15.570  0.030  15.612  0.029  16.063  0.061  15.915  0.031  15.925  0.087  16.089  0.046 0.12900   0.02900 1.977 0.655        -0.01057     CSP       0        0
SN2008fp 1.077 0.007 0.005660 0.006287  13.933  0.005  13.470  0.005  14.621  0.013  13.708  0.004  13.416  0.005  13.687  0.008  13.628  0.055  13.343  0.008  13.598  0.010 0.51800   0.03400 2.244 0.253        -0.00702     CSP       0        0
SN2008fr 1.059 0.024 0.038973 0.037906  16.834  0.054  16.835  0.040  17.233  0.086  16.785  0.032  16.990  0.030  17.645  0.062  17.793  0.058  17.742  0.108  17.818  0.052 0.02600   0.01900 1.492 1.296        -0.00757     CSP       0        0
SN2008fu 0.822 0.022 0.052370 0.051834  17.626  0.073  17.700  0.050  18.037  0.068  17.641  0.045  17.805  0.038  18.346  0.068  18.106  0.091  17.988  0.117  18.252  0.079 0.02200   0.01800 1.808 1.292        -0.00211     CSP       0        0
SN2008fw 1.114 0.023 0.008543 0.009507  14.002  0.049  13.938  0.037  14.251  0.076  13.915  0.027  14.040  0.029  14.635  0.058  14.638  0.025  14.609  0.048  14.727  0.027 0.11400   0.02500 2.258 0.649        -0.00887     CSP       0        0
SN2008gg 1.114 0.027 0.031993 0.031066  16.554  0.051  16.413  0.038  17.195  0.081  16.456  0.029  16.480  0.030  17.158  0.062  17.275  0.032  16.948  0.091  17.394  0.056 0.15200   0.02900 1.288 0.572        -0.00998     CSP       0        0
